race,gender,age
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[50-60)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[50-60)
AfricanAmerican,Female,[60-70)
AfricanAmerican,Male,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[40-50)
Caucasian,Male,[40-50)
AfricanAmerican,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[10-20)
Caucasian,Male,[50-60)
Caucasian,Male,[90-100)
Caucasian,Male,[40-50)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[60-70)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Male,[40-50)
Caucasian,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Other,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[0-10)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[40-50)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
AfricanAmerican,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
AfricanAmerican,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[70-80)
Other,Male,[50-60)
Caucasian,Male,[60-70)
Caucasian,Male,[50-60)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[20-30)
Hispanic,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[90-100)
Caucasian,Female,[50-60)
Caucasian,Male,[80-90)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[60-70)
AfricanAmerican,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Male,[20-30)
Caucasian,Female,[70-80)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[40-50)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[40-50)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[40-50)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[30-40)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[40-50)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[30-40)
Other,Male,[50-60)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[20-30)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[40-50)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
AfricanAmerican,Female,[40-50)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
Other,Female,[40-50)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[20-30)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Hispanic,Female,[40-50)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[60-70)
Caucasian,Female,[30-40)
Caucasian,Female,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Other,Male,[40-50)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Female,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[60-70)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[90-100)
Caucasian,Male,[80-90)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[90-100)
Caucasian,Male,[80-90)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[80-90)
AfricanAmerican,Female,[50-60)
AfricanAmerican,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[80-90)
Caucasian,Male,[30-40)
Caucasian,Male,[80-90)
Caucasian,Female,[40-50)
Caucasian,Female,[50-60)
Other,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[30-40)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[80-90)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[40-50)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[20-30)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Other,Male,[60-70)
AfricanAmerican,Female,[30-40)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[40-50)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[50-60)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[40-50)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[50-60)
AfricanAmerican,Female,[40-50)
AfricanAmerican,Male,[50-60)
Hispanic,Male,[30-40)
Caucasian,Male,[40-50)
Caucasian,Female,[30-40)
Caucasian,Female,[90-100)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[30-40)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[40-50)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[30-40)
Caucasian,Female,[80-90)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[30-40)
AfricanAmerican,Female,[50-60)
Other,Male,[20-30)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[20-30)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[50-60)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[60-70)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[10-20)
AfricanAmerican,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
AfricanAmerican,Male,[40-50)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[70-80)
Hispanic,Male,[60-70)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[0-10)
Caucasian,Female,[70-80)
Caucasian,Female,[40-50)
AfricanAmerican,Female,[80-90)
Caucasian,Female,[30-40)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[50-60)
Caucasian,Female,[90-100)
Caucasian,Male,[60-70)
Hispanic,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[50-60)
Caucasian,Female,[80-90)
Caucasian,Male,[30-40)
Caucasian,Male,[60-70)
Caucasian,Female,[50-60)
AfricanAmerican,Male,[20-30)
Caucasian,Male,[70-80)
Caucasian,Female,[0-10)
Caucasian,Male,[70-80)
Caucasian,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[50-60)
Caucasian,Female,[30-40)
Caucasian,Female,[80-90)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[40-50)
AfricanAmerican,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[30-40)
Caucasian,Female,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Asian,Female,[30-40)
Caucasian,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[40-50)
AfricanAmerican,Male,[60-70)
Caucasian,Female,[20-30)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[60-70)
Caucasian,Female,[40-50)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[40-50)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[20-30)
AfricanAmerican,Male,[20-30)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
AfricanAmerican,Male,[60-70)
AfricanAmerican,Female,[20-30)
Hispanic,Female,[40-50)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Other,Male,[50-60)
AfricanAmerican,Female,[20-30)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[60-70)
AfricanAmerican,Male,[70-80)
Other,Male,[70-80)
AfricanAmerican,Male,[50-60)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[60-70)
Caucasian,Male,[40-50)
Caucasian,Male,[50-60)
Caucasian,Male,[60-70)
Caucasian,Male,[80-90)
Caucasian,Female,[90-100)
Caucasian,Female,[70-80)
Caucasian,Male,[50-60)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[90-100)
AfricanAmerican,Male,[40-50)
Caucasian,Male,[40-50)
Caucasian,Female,[60-70)
Hispanic,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[10-20)
Caucasian,Male,[50-60)
Caucasian,Male,[30-40)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[90-100)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[70-80)
Caucasian,Female,[50-60)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[50-60)
Other,Male,[50-60)
Caucasian,Male,[70-80)
Caucasian,Male,[90-100)
Caucasian,Female,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[80-90)
Caucasian,Male,[90-100)
Caucasian,Male,[90-100)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[30-40)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[50-60)
AfricanAmerican,Male,[30-40)
Caucasian,Female,[90-100)
Hispanic,Male,[40-50)
Caucasian,Female,[60-70)
Caucasian,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[30-40)
Caucasian,Female,[60-70)
Caucasian,Female,[30-40)
Caucasian,Female,[50-60)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[50-60)
Other,Female,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[80-90)
AfricanAmerican,Male,[60-70)
AfricanAmerican,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[40-50)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[60-70)
AfricanAmerican,Female,[10-20)
Caucasian,Male,[50-60)
Caucasian,Male,[90-100)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[90-100)
Caucasian,Male,[40-50)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[40-50)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[80-90)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[80-90)
Caucasian,Male,[50-60)
Caucasian,Female,[40-50)
Caucasian,Male,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[40-50)
AfricanAmerican,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[10-20)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[50-60)
Caucasian,Female,[60-70)
Caucasian,Male,[30-40)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Female,[50-60)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Female,[30-40)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Male,[50-60)
Hispanic,Male,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Hispanic,Female,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Other,Female,[80-90)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[60-70)
AfricanAmerican,Female,[90-100)
AfricanAmerican,Female,[90-100)
Caucasian,Male,[70-80)
Caucasian,Male,[90-100)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[40-50)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[60-70)
Caucasian,Male,[30-40)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[40-50)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[40-50)
Caucasian,Female,[40-50)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[40-50)
Caucasian,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
AfricanAmerican,Male,[30-40)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[30-40)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[50-60)
AfricanAmerican,Male,[50-60)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[70-80)
Caucasian,Female,[20-30)
Caucasian,Female,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[20-30)
Caucasian,Female,[60-70)
Other,Female,[70-80)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[50-60)
AfricanAmerican,Male,[80-90)
Caucasian,Male,[80-90)
Caucasian,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[90-100)
Caucasian,Female,[90-100)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[70-80)
Caucasian,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Other,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
AfricanAmerican,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[50-60)
Caucasian,Female,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[40-50)
Caucasian,Male,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[70-80)
Caucasian,Female,[40-50)
Caucasian,Female,[70-80)
Caucasian,Female,[90-100)
Caucasian,Male,[70-80)
Other,Male,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Male,[50-60)
Caucasian,Male,[60-70)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[40-50)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[80-90)
Caucasian,Female,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[50-60)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[80-90)
Caucasian,Female,[60-70)
AfricanAmerican,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[80-90)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[60-70)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[40-50)
Caucasian,Female,[60-70)
Caucasian,Female,[40-50)
Caucasian,Female,[80-90)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[50-60)
Hispanic,Male,[30-40)
Caucasian,Male,[80-90)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Female,[60-70)
Caucasian,Male,[40-50)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Female,[20-30)
Caucasian,Male,[40-50)
Caucasian,Male,[50-60)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Female,[80-90)
AfricanAmerican,Female,[70-80)
Caucasian,Male,[50-60)
Caucasian,Male,[30-40)
Caucasian,Male,[40-50)
Caucasian,Male,[80-90)
Caucasian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[70-80)
Caucasian,Female,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Male,[80-90)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[30-40)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[60-70)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[10-20)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[90-100)
Caucasian,Female,[50-60)
AfricanAmerican,Female,[60-70)
Caucasian,Female,[70-80)
Caucasian,Male,[40-50)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[70-80)
Caucasian,Male,[70-80)
Caucasian,Female,[40-50)
Caucasian,Female,[70-80)
Caucasian,Female,[30-40)
Caucasian,Female,[40-50)
Caucasian,Female,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[30-40)
Caucasian,Female,[70-80)
Caucasian,Male,[50-60)
Caucasian,Female,[80-90)
AfricanAmerican,Male,[70-80)
Caucasian,Male,[50-60)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[60-70)
Caucasian,Male,[70-80)
AfricanAmerican,Female,[50-60)
Caucasian,Female,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[60-70)
Caucasian,Male,[50-60)
Caucasian,Female,[80-90)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[30-40)
Caucasian,Male,[60-70)
Caucasian,Female,[90-100)
Caucasian,Female,[50-60)
Caucasian,Female,[10-20)
AfricanAmerican,Male,[40-50)
Caucasian,Female,[40-50)
Asian,Male,[60-70)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[70-80)
Caucasian,Male,[80-90)
Caucasian,Male,[40-50)
Caucasian,Male,[50-60)
Caucasian,Female,[70-80)
AfricanAmerican,Male,[70-80)
Caucasian,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[80-90)
Caucasian,Female,[50-60)
Caucasian,Female,[40-50)
Caucasian,Female,[60-70)
Caucasian,Male,[50-60)
Other,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[70-80)
Caucasian,Female,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Female,[90-100)
Caucasian,Female,[70-80)
AfricanAmerican,Female,[70-80)
AfricanAmerican,Female,[40-50)
Caucasian,Female,[50-60)
Caucasian,Male,[60-70)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[30-40)
AfricanAmerican,Male,[50-60)
AfricanAmerican,Male,[50-60)
Caucasian,Female,[50-60)
Caucasian,Female,[50-60)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
Caucasian,Male,[60-70)
Caucasian,Female,[30-40)
AfricanAmerican,Female,[80-90)
Caucasian,Female,[60-70)
Caucasian,Female,[10-20)
Caucasian,Female,[60-70)
Caucasian,Female,[80-90)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[50-60)
Caucasian,Male,[80-90)
Caucasian,Male,[70-80)
